concept_type,concept_type_label_id,frequency,priority,status,suggested_template_id,media_engine_family
heat_energy_transfer_model,"Suhu, kalor, energi, dan perpindahan energi",5,covered_mvp,covered_mvp,manim.heat_energy_machine.v1,manim
scientific_inquiry_data_model,Penyelidikan ilmiah dan grafik data fisika,5,covered_mvp,covered_mvp,manim.scientific_inquiry_data.v1,manim
wave_oscillation_model,"Getaran, gelombang, bunyi, dan cahaya",5,covered_mvp,covered_mvp,manim.wave_optics.v1,manim
biodiversity_classification_conservation,"Keanekaragaman, klasifikasi, dan konservasi",5,top10_uncovered,uncovered,remotion.bio_taxonomy_biodiversity.v1,remotion_svg
biotechnology_process_ethics,"Bioteknologi, inovasi, dan etika",5,top10_uncovered,uncovered,remotion.bio_biotech_process.v1,remotion_svg
ecosystem_interaction_energy_matter,"Ekosistem, interaksi, aliran energi, dan daur materi",5,top10_uncovered,uncovered,remotion.bio_ecosystem_network.v1,remotion_svg
atomic_structure_periodic_model,"Atom, elektron, isotop, dan sistem periodik",5,top10_uncovered,uncovered,remotion.chem_atomic_periodic.v1,remotion_svg
stoichiometry_mole_calculation,"Mol, massa molar, stoikiometri, dan pereaksi pembatas",5,covered_mvp,covered_mvp,manim.stoichiometry_board.v1,manim
acid_base_ph_titration,"Asam-basa, pH, buffer, hidrolisis, dan titrasi",5,top10_uncovered,uncovered,remotion.chem_acid_base_titration.v1,remotion_svg
counting_place_value_number_line,"Model bilangan, nilai tempat, dan garis bilangan",5,covered_mvp,covered_mvp,manim.elementary_number_line_place_value.v1,manim
ecosystem_interdependence,"Habitat, adaptasi, rantai makanan, ekosistem",5,top30_uncovered,uncovered,remotion.sd_ecosystem_food_chain.v1,remotion_or_rive
energy_light_sound_heat_electricity,"Energi panas, cahaya, bunyi, listrik, magnet, dan perubahannya",5,top30_uncovered,uncovered,remotion.sd_energy_forms.v1,remotion_or_manim
quadratic_model,Model kuadrat dan parabola,4,covered_mvp,covered_mvp,manim.quadratic_model.v1,manim
bivariable_association_regression,"Hubungan dua variabel, asosiasi, korelasi, dan model linear",4,covered_mvp,covered_mvp,manim.scatter_association.v1,manim
life_structure_classification,"Makhluk hidup, klasifikasi, dan struktur organisme",4,top30_uncovered,uncovered,remotion.bio_structure_labeling.v1,remotion_svg
electricity_magnetism_circuit_model,"Listrik, magnet, dan rangkaian sederhana",4,covered_mvp,covered_mvp,manim.electricity_magnetism.v1,manim
environment_energy_system_model,"Sistem energi, iklim, dan lingkungan",4,covered_mvp,covered_mvp,manim.energy_environment_system.v1,manim
modern_atomic_nuclear_model,"Fisika modern, atom, dan inti",4,covered_mvp,covered_mvp,manim.modern_atomic_nuclear.v1,manim
virus_structure_lifecycle_health,"Virus, siklus replikasi, dan kesehatan",4,top30_uncovered,uncovered,remotion.bio_virus_lifecycle.v1,remotion_svg
mutation_evolution_selection,"Mutasi, evolusi, seleksi alam, dan biodiversitas",4,top30_uncovered,uncovered,remotion.bio_evolution_selection.v1,remotion_svg
reaction_equation_conservation,"Reaksi, persamaan reaksi, dan hukum dasar",4,covered_mvp,covered_mvp,manim.chem_reaction_equation.v1,manim
reaction_rate_collision_model,Laju reaksi dan teori tumbukan,4,top30_uncovered,uncovered,remotion.chem_particle_reaction_rate.v1,remotion_svg
redox_electrochemistry_model,"Redoks, sel volta, elektrolisis, dan korosi",4,top30_uncovered,uncovered,remotion.chem_redox_electrochemistry.v1,remotion_svg
organic_structure_functional_group,"Kimia karbon, hidrokarbon, gugus fungsi, dan polimer",4,top30_uncovered,uncovered,remotion.chem_organic_structure.v1,remotion_svg
arithmetic_operation_model,Operasi hitung konkret dan semi-abstrak,4,covered_mvp,covered_mvp,manim.elementary_arithmetic_blocks.v1,manim
equation_balance_unknown,"Kalimat matematika, nilai belum diketahui, dan model keseimbangan",4,covered_mvp,covered_mvp,manim.equation_balance.v1,manim
data_representation_summary,"Tabel, piktogram, diagram, dan ringkasan data",4,top30_uncovered,uncovered,manim.elementary_data_chart.v1,manim
body_senses_health,"Tubuh, pancaindra, kesehatan, dan sistem tubuh awal",4,top30_uncovered,uncovered,remotion.sd_body_senses_health.v1,remotion_or_rive
living_things_classification_lifecycle,"Ciri makhluk hidup, klasifikasi, dan siklus hidup",4,top30_uncovered,uncovered,remotion.sd_life_cycle_classification.v1,remotion_or_rive
force_motion_simple_machine,"Gaya, gerak, gesek, magnet, dan pesawat sederhana",4,top30_uncovered,uncovered,manim.sd_force_motion.v1,manim
algebra_expression_transformation,Transformasi bentuk aljabar,3,top30_uncovered,uncovered,manim.algebra_expression.v1,manim
inequality_region_model,Pertidaksamaan dan daerah solusi,3,top30_uncovered,uncovered,manim.inequality_region.v1,manim
trigonometric_ratio_triangle,Perbandingan trigonometri segitiga,3,top30_uncovered,uncovered,manim.trig_ratio_triangle.v1,manim
function_composition_inverse_transform,"Komposisi, invers, dan transformasi fungsi",3,top30_uncovered,uncovered,manim.function_composition_transform.v1,manim
acid_base_safety_context,"Asam-basa, zat aditif/adiktif, dan keselamatan bahan",3,top30_uncovered,uncovered,remotion.chem_acid_base_safety.v1,remotion_svg
wave_sound_light_model,"Getaran, gelombang, bunyi, cahaya, dan optik dasar",3,top30_uncovered,uncovered,manim.wave_sound_light.v1,manim
measurement_uncertainty_model,"Pengukuran, satuan, ketelitian, dan ketidakpastian",3,top30_uncovered,uncovered,manim.measurement_uncertainty.v1,manim
motion_kinematics_model,Kinematika gerak,3,covered_mvp,covered_mvp,manim.motion_kinematics.v1,manim
heat_temperature_transfer_model,"Suhu, kalor, termodinamika, dan perpindahan panas",3,top30_uncovered,uncovered,manim.heat_transfer_thermo.v1,manim
electric_circuit_model,Listrik dan rangkaian,3,top60_uncovered,uncovered,manim.electric_circuit.v1,manim
chemistry_inquiry_safety_context,"Hakikat kimia, laboratorium, dan keselamatan",3,top60_uncovered,uncovered,remotion.chem_lab_safety.v1,remotion_svg
matter_property_change_model,"Materi, sifat, klasifikasi, dan perubahan",3,top60_uncovered,uncovered,remotion.chem_particle_matter.v1,remotion_svg
equilibrium_shift_model,Kesetimbangan kimia dan Le Chatelier,3,top60_uncovered,uncovered,manim.chem_equilibrium_shift.v1,manim
thermochemistry_energy_profile,"Termokimia, entalpi, dan Hukum Hess",3,top60_uncovered,uncovered,manim.chem_energy_profile.v1,manim
pattern_sequence_generalization,"Pola, barisan, dan generalisasi awal",3,covered_mvp,covered_mvp,manim.sequence_pattern.v1,manim
shape_identification_geometry,"Bangun datar, bangun ruang, sifat, dan komposisi",3,top60_uncovered,uncovered,manim.elementary_shapes.v1,manim
area_perimeter_volume_model,"Keliling, luas, volume, dan jaring-jaring",3,top60_uncovered,uncovered,manim.area_volume_decomposition.v1,manim
observation_inquiry_skills,"Observasi, bertanya, mengelompokkan, dan mencatat data",3,top60_uncovered,uncovered,remotion.sd_inquiry_observation.v1,remotion_or_rive
matter_properties_states,"Benda, sifat bahan, wujud zat, dan perubahan wujud",3,top60_uncovered,uncovered,remotion.sd_matter_states.v1,remotion_or_rive
solar_system_day_night,"Siang-malam, Bulan-Matahari, dan tata surya awal",3,top60_uncovered,uncovered,remotion.sd_solar_system_day_night.v1,remotion_or_manim
earth_surface_resources_environment,"Permukaan bumi, sumber daya alam, dan perubahan lingkungan",3,top60_uncovered,uncovered,remotion.sd_earth_resources_environment.v1,remotion_or_rive
mixture_separation_change,"Campuran, pemisahan, larutan, dan perubahan fisika/kimia awal",3,top60_uncovered,uncovered,remotion.sd_mixture_separation.v1,remotion_or_rive
matrix_operation_model,Matriks dan operasi data tersusun,2,top60_uncovered,uncovered,manim.matrix_operations.v1,manim
geodesic_coordinate_model,Koordinat dan jarak pada permukaan Bumi,2,top60_uncovered,uncovered,manim.geodesic_coordinate.v1,manim
matter_particle_property_model,"Zat, partikel, sifat, dan perubahan materi",2,top60_uncovered,uncovered,remotion.chem_particle_matter.v1,remotion_svg
motion_force_pressure_model,"Gerak, gaya, tekanan, dan mesin sederhana",2,top60_uncovered,uncovered,manim.force_motion_pressure.v1,manim
work_energy_power_model,"Usaha, energi, dan daya",2,top60_uncovered,uncovered,manim.energy_transfer.v1,manim
scalar_vector_model,"Skalar, vektor, dan resultan",2,top60_uncovered,uncovered,manim.vector_diagram.v1,manim
force_newton_diagram,Gaya dan hukum Newton,2,covered_mvp,covered_mvp,manim.force_diagram.v1,manim
fluid_pressure_model,Fluida dan tekanan,2,top60_uncovered,uncovered,manim.fluid_pressure.v1,manim
electromagnetism_field_model,"Medan listrik, magnet, dan elektromagnetisme",2,top60_uncovered,uncovered,manim.electromagnetism_field.v1,manim
cell_structure_organelle,Struktur sel dan organel,2,top60_uncovered,uncovered,remotion.bio_cell_structure.v1,remotion_svg
membrane_transport_model,"Transpor membran, osmosis, dan difusi",2,top60_uncovered,uncovered,remotion.bio_membrane_transport.v1,remotion_svg
cell_division_cycle,Pembelahan sel mitosis dan meiosis,2,top60_uncovered,uncovered,remotion.bio_cell_division.v1,remotion_svg
enzyme_metabolism_process,Enzim dan metabolisme sel,2,top60_uncovered,uncovered,remotion.bio_enzyme_metabolism.v1,remotion_svg
photosynthesis_respiration_process,Fotosintesis dan respirasi sel,2,top60_uncovered,uncovered,remotion.bio_energy_process.v1,remotion_svg
genetic_information_expression,"DNA, gen, kromosom, dan sintesis protein",2,top60_uncovered,uncovered,remotion.bio_genetic_expression.v1,remotion_svg
inheritance_probability_model,Pewarisan sifat dan peluang genetika,2,top60_uncovered,uncovered,manim.bio_genetics_probability.v1,manim
growth_development_timeline,Pertumbuhan dan perkembangan organisme,2,top60_uncovered,uncovered,remotion.bio_growth_timeline.v1,remotion_svg
materials_nanotech_environment,"Material, nanoteknologi, dan kimia lingkungan",2,top60_uncovered,uncovered,remotion.chem_material_environment.v1,remotion_svg
measurement_unit_conversion,"Pengukuran, satuan, dan konversi sederhana",2,top60_uncovered,uncovered,manim.measurement_units.v1,manim
financial_quantity_model,Literasi finansial dasar,2,long_tail,uncovered,manim.elementary_finance_timeline.v1,manim
factor_multiple_divisibility,"Faktor, kelipatan, FPB, KPK, dan keterbagian",2,long_tail,uncovered,manim.factor_tree_multiple_grid.v1,manim
angle_symmetry_transformation,"Sudut, simetri, dan transformasi awal",2,long_tail,uncovered,manim.elementary_geometry_transform.v1,manim
chance_probability_informal,Peluang informal dan peluang sederhana,2,long_tail,uncovered,manim.elementary_probability.v1,manim
ratio_scale_proportion_model,"Rasio, skala, dan penalaran proporsional awal",2,covered_mvp,covered_mvp,manim.ratio_proportion.v1,manim
earth_weather_water_cycle,"Cuaca, musim, daur air, dan peristiwa alam",2,long_tail,uncovered,remotion.sd_weather_water_cycle.v1,remotion_or_rive
factorization_divisibility_model,Faktorisasi dan keterbagian,1,long_tail,uncovered,manim.factor_tree.v1,manim
graph_function_model,Grafik fungsi dan interpretasi kurva,1,covered_mvp,covered_mvp,manim.graph_explanation.v1,manim
spatial_net_model,Jaring-jaring dan representasi 3D,1,long_tail,uncovered,manim.spatial_net.v1,manim
measurement_data_process,Pengukuran dan data IPA,1,long_tail,uncovered,manim.measurement_data.v1,manim
mixture_separation_lab_model,Campuran dan pemisahan sederhana,1,long_tail,uncovered,remotion.chem_lab_separation.v1,remotion_svg
momentum_impulse_collision_model,"Momentum, impuls, dan tumbukan",1,long_tail,uncovered,manim.momentum_collision.v1,manim
immune_response_interaction,Sistem imun dan interaksi pertahanan tubuh,1,long_tail,uncovered,remotion.bio_immune_response.v1,remotion_svg
homeostasis_feedback_model,Homeostasis dan umpan balik biologis,1,long_tail,uncovered,remotion.bio_homeostasis_feedback.v1,remotion_svg
disease_disorder_context,Gangguan sistem organ dan konteks kesehatan,1,long_tail,uncovered,remotion.bio_health_disorder.v1,remotion_svg
coordinate_spatial_model,Koordinat dan posisi ruang,1,long_tail,uncovered,manim.coordinate_grid_elementary.v1,manim
plant_animal_structure_function,Struktur dan fungsi bagian tubuh tumbuhan/hewan,1,long_tail,uncovered,remotion.sd_structure_function.v1,remotion_or_rive
