row,concept_type,label,template_id,component,archetype,domain,engine_family
39,mutation_evolution_selection,"Mutasi, evolusi, seleksi alam, dan biodiversitas",remotion.bio_evolution_selection.v1,EvolutionSelectionVideo,evolution_selection,biology,remotion_svg
41,reaction_rate_collision_model,Laju reaksi dan teori tumbukan,remotion.chem_particle_reaction_rate.v1,ReactionCollisionEnergyVideo,reaction_collision,chemistry,remotion_svg
42,redox_electrochemistry_model,"Redoks, sel volta, elektrolisis, dan korosi",remotion.chem_redox_electrochemistry.v1,ElectrochemicalCellVideo,electrochemical_cell,chemistry,remotion_svg
43,organic_structure_functional_group,"Kimia karbon, hidrokarbon, gugus fungsi, dan polimer",remotion.chem_organic_structure.v1,OrganicStructureVideo,organic_structure,chemistry,remotion_svg
47,body_senses_health,"Tubuh, pancaindra, kesehatan, dan sistem tubuh awal",remotion.sd_body_senses_health.v1,BodySensesHealthVideo,body_senses,sd_science,remotion_or_rive
48,living_things_classification_lifecycle,"Ciri makhluk hidup, klasifikasi, dan siklus hidup",remotion.sd_life_cycle_classification.v1,LifeCycleClassificationVideo,sd_life_cycle,sd_science,remotion_or_rive
54,acid_base_safety_context,"Asam-basa, zat aditif/adiktif, dan keselamatan bahan",remotion.chem_acid_base_safety.v1,AcidBaseSafetyVideo,acid_base_safety,chemistry,remotion_svg
60,chemistry_inquiry_safety_context,"Hakikat kimia, laboratorium, dan keselamatan",remotion.chem_lab_safety.v1,LabSafetyVideo,lab_safety,chemistry,remotion_svg
61,matter_property_change_model,"Materi, sifat, klasifikasi, dan perubahan",remotion.chem_particle_matter.v1,ParticleMatterStatesVideo,particle_matter,chemistry,remotion_svg
67,observation_inquiry_skills,"Observasi, bertanya, mengelompokkan, dan mencatat data",remotion.sd_inquiry_observation.v1,InquiryObservationVideo,inquiry_observation,sd_science,remotion_or_rive
68,matter_properties_states,"Benda, sifat bahan, wujud zat, dan perubahan wujud",remotion.sd_matter_states.v1,SDMatterStatesVideo,sd_matter_states,sd_science,remotion_or_rive
69,solar_system_day_night,"Siang-malam, Bulan-Matahari, dan tata surya awal",remotion.sd_solar_system_day_night.v1,SolarDayNightVideo,solar_day_night,sd_science,remotion_or_manim
70,earth_surface_resources_environment,"Permukaan bumi, sumber daya alam, dan perubahan lingkungan",remotion.sd_earth_resources_environment.v1,EarthResourcesEnvironmentVideo,earth_resources,sd_science,remotion_or_rive
71,mixture_separation_change,"Campuran, pemisahan, larutan, dan perubahan fisika/kimia awal",remotion.sd_mixture_separation.v1,SDMixtureSeparationVideo,sd_mixture_separation,sd_science,remotion_or_rive
74,matter_particle_property_model,"Zat, partikel, sifat, dan perubahan materi",remotion.chem_particle_matter.v1,ParticleMatterStatesVideo,particle_matter,chemistry,remotion_svg
81,cell_structure_organelle,Struktur sel dan organel,remotion.bio_cell_structure.v1,CellStructureVideo,cell_structure,biology,remotion_svg
82,membrane_transport_model,"Transpor membran, osmosis, dan difusi",remotion.bio_membrane_transport.v1,MembraneTransportVideo,membrane_transport,biology,remotion_svg
83,cell_division_cycle,Pembelahan sel mitosis dan meiosis,remotion.bio_cell_division.v1,CellDivisionVideo,cell_division,biology,remotion_svg
84,enzyme_metabolism_process,Enzim dan metabolisme sel,remotion.bio_enzyme_metabolism.v1,EnzymeMetabolismVideo,enzyme_metabolism,biology,remotion_svg
85,photosynthesis_respiration_process,Fotosintesis dan respirasi sel,remotion.bio_energy_process.v1,PhotosynthesisRespirationVideo,bio_energy_process,biology,remotion_svg
86,genetic_information_expression,"DNA, gen, kromosom, dan sintesis protein",remotion.bio_genetic_expression.v1,GeneticExpressionVideo,genetic_expression,biology,remotion_svg
88,growth_development_timeline,Pertumbuhan dan perkembangan organisme,remotion.bio_growth_timeline.v1,GrowthTimelineVideo,growth_timeline,biology,remotion_svg
89,materials_nanotech_environment,"Material, nanoteknologi, dan kimia lingkungan",remotion.chem_material_environment.v1,MaterialsEnvironmentVideo,material_environment,chemistry,remotion_svg
96,earth_weather_water_cycle,"Cuaca, musim, daur air, dan peristiwa alam",remotion.sd_weather_water_cycle.v1,WeatherWaterCycleVideo,water_cycle,sd_science,remotion_or_rive
101,mixture_separation_lab_model,Campuran dan pemisahan sederhana,remotion.chem_lab_separation.v1,LabSeparationVideo,lab_separation,chemistry,remotion_svg
103,immune_response_interaction,Sistem imun dan interaksi pertahanan tubuh,remotion.bio_immune_response.v1,ImmuneResponseVideo,immune_response,biology,remotion_svg
104,homeostasis_feedback_model,Homeostasis dan umpan balik biologis,remotion.bio_homeostasis_feedback.v1,HomeostasisFeedbackVideo,homeostasis_feedback,biology,remotion_svg
105,disease_disorder_context,Gangguan sistem organ dan konteks kesehatan,remotion.bio_health_disorder.v1,HealthDisorderVideo,health_disorder,biology,remotion_svg
107,plant_animal_structure_function,Struktur dan fungsi bagian tubuh tumbuhan/hewan,remotion.sd_structure_function.v1,StructureFunctionVideo,structure_function,sd_science,remotion_or_rive
